MC, RTCL, nonRTCL, n_RT, n_nonRT, SCL, Status, Preempted
0, 3, 5, 0, 0, 4, 2, 0
3.0, 13.0, 5.0, 0, 1, 5.0, 1, 1.0
5.0, 13.0, 10.0, 0, 2, 5.0, 1, 1.0
5.0, 13.0, 10.0, 0, 1, 6.0, 2, 0.0
6.0, 13.0, 10.0, 0, 0, 10.0, 2, 0.0
10.0, 13.0, 15.0, 0, 1, 10.0, 2, 0.0
10.0, 13.0, 15.0, 0, 0, 14.0, 2, 0.0
13.0, 23.0, 15.0, 0, 1, 15.0, 1, 1.0
15.0, 23.0, 20.0, 0, 2, 15.0, 1, 1.0
15.0, 23.0, 20.0, 0, 1, 16.0, 2, 0.0
16.0, 23.0, 20.0, 0, 0, 20.0, 2, 0.0
20.0, 23.0, 25.0, 0, 1, 20.0, 2, 0.0
20.0, 23.0, 25.0, 0, 0, 24.0, 2, 0.0
23.0, 33.0, 25.0, 0, 1, 25.0, 1, 1.0
25.0, 33.0, 30.0, 0, 2, 25.0, 1, 1.0
25.0, 33.0, 30.0, 0, 1, 26.0, 2, 0.0
26.0, 33.0, 30.0, 0, 0, 30.0, 2, 0.0
30.0, 33.0, 35.0, 0, 1, 30.0, 2, 0.0
30.0, 33.0, 35.0, 0, 0, 34.0, 2, 0.0
33.0, 43.0, 35.0, 0, 1, 35.0, 1, 1.0
35.0, 43.0, 40.0, 0, 2, 35.0, 1, 1.0
35.0, 43.0, 40.0, 0, 1, 36.0, 2, 0.0
36.0, 43.0, 40.0, 0, 0, 40.0, 2, 0.0
40.0, 43.0, 45.0, 0, 1, 40.0, 2, 0.0
40.0, 43.0, 45.0, 0, 0, 44.0, 2, 0.0
43.0, 53.0, 45.0, 0, 1, 45.0, 1, 1.0
45.0, 53.0, 50.0, 0, 2, 45.0, 1, 1.0
45.0, 53.0, 50.0, 0, 1, 46.0, 2, 0.0
46.0, 53.0, 50.0, 0, 0, 50.0, 2, 0.0
50.0, 53.0, 55.0, 0, 1, 50.0, 2, 0.0
50.0, 53.0, 55.0, 0, 0, 54.0, 2, 0.0
53.0, 63.0, 55.0, 0, 1, 55.0, 1, 1.0
55.0, 63.0, 60.0, 0, 2, 55.0, 1, 1.0
55.0, 63.0, 60.0, 0, 1, 56.0, 2, 0.0
56.0, 63.0, 60.0, 0, 0, 60.0, 2, 0.0
60.0, 63.0, 65.0, 0, 1, 60.0, 2, 0.0
60.0, 63.0, 65.0, 0, 0, 64.0, 2, 0.0
63.0, 73.0, 65.0, 0, 1, 65.0, 1, 1.0
65.0, 73.0, 70.0, 0, 2, 65.0, 1, 1.0
65.0, 73.0, 70.0, 0, 1, 66.0, 2, 0.0
66.0, 73.0, 70.0, 0, 0, 70.0, 2, 0.0
70.0, 73.0, 75.0, 0, 1, 70.0, 2, 0.0
70.0, 73.0, 75.0, 0, 0, 74.0, 2, 0.0
73.0, 83.0, 75.0, 0, 1, 75.0, 1, 1.0
75.0, 83.0, 80.0, 0, 2, 75.0, 1, 1.0
75.0, 83.0, 80.0, 0, 1, 76.0, 2, 0.0
76.0, 83.0, 80.0, 0, 0, 80.0, 2, 0.0
80.0, 83.0, 85.0, 0, 1, 80.0, 2, 0.0
80.0, 83.0, 85.0, 0, 0, 84.0, 2, 0.0
83.0, 93.0, 85.0, 0, 1, 85.0, 1, 1.0
85.0, 93.0, 90.0, 0, 2, 85.0, 1, 1.0
85.0, 93.0, 90.0, 0, 1, 86.0, 2, 0.0
86.0, 93.0, 90.0, 0, 0, 90.0, 2, 0.0
90.0, 93.0, 95.0, 0, 1, 90.0, 2, 0.0
